,losses,accuracies,val_losses,val_accuracies,time,test_total_loss,test_total_accuracy,
0,0.82341754,0.31811885,0.83694309,0.44037458,119,0.0495,0.9822
1,0.59080094,0.50157121,0.5603855,0.56125112,118,,
2,0.37326312,0.682446438,0.34872717,0.76495814,118,,
3,0.18887354,0.847453475,0.1590236,0.90117198,117,,
4,0.08064051,0.941836538,0.06894085,0.96176732,118,,
5,0.03915725,0.9743546,0.0373376,0.9802202,117,,
6,0.0208546,0.987281275,0.02801866,0.98507172,118,,
7,0.01584766,0.989933313,0.01772161,0.99054444,117,,
8,0.01017129,0.993765375,0.01357807,0.9927547,117,,
9,0.00916735,0.99398605,0.01154936,0.99371827,117,,
